commit_frequency,code_churn,pr_cycle_time_hours,contributor_count,sprint_velocity_ratio,avg_task_aging_days,backlog_growth_rate,messages_per_day,active_users,sentiment_score,velocity_drop_flag,burnout_flag,silo_flag,aging_flag,anomaly_type
0.5921743587546764,0.704161743403613,0.35297669330527964,0.6713419533371815,0.7546359831349405,0.9315667222547646,0.5109432353938437,0.3697027176072135,0.40759566189944435,0.0,0,1,1,0,Pattern3
0.0,0.1306252566895006,0.006682025828746219,0.016811563898822823,0.12256818252420618,0.1634452521939723,0.09076463300327406,0.0,0.031590196883465,0.0,0,0,0,0,Pattern1
0.5930905721391435,0.36977489511411465,0.4954252480041175,0.21234836860518747,1.0,1.0,0.5782864553676093,0.33389863334764686,0.7986818552333079,0.002776925979197771,0,0,0,1,Pattern3
0.8472744911668894,1.0,1.0,0.9269565949778966,0.8794718188773297,0.8808102099207055,0.8382975352661987,0.916366215719884,0.9639143094358164,0.8471354434586433,1,1,1,1,Pattern2
0.0,0.16581564518394523,0.09994733491342633,0.0,0.0703562803457887,0.09259593459256146,0.0,0.037017609857738214,0.0,0.22180873767447537,0,0,0,0,Pattern1
0.6418926617305633,0.8576962560301779,0.6702205607429651,0.21981326006145363,0.4093287211415483,0.07067421501068183,0.4477749544543368,0.8640465844073556,0.6411748770255931,0.6846134823456947,0,1,1,1,Pattern4
0.8019095100292501,0.944759244239992,0.8392700162272884,0.21501434487692683,0.23402733193435543,0.7384795025259759,0.2852243246025541,0.6639393895355853,0.47424840202204877,0.39430753339999935,1,0,1,0,Pattern4
0.0,0.0,0.018604946028245528,0.0,0.007350763321320135,0.0,0.0,0.0015440855676214756,0.012257423814026974,0.25879447046193765,0,0,0,0,Pattern1
0.14100376213661706,0.14582530073462857,0.056483902738431506,0.0,0.05498048500337112,0.04190968663219308,0.1352820532231762,0.07115921107741321,0.0,0.0,0,0,0,0,Pattern1
0.9053810216094267,0.627298616555844,0.34041604772779976,0.997386998822311,0.589944335302234,0.5453908848379364,0.08661649360239188,0.9837924070467716,0.24185358527992307,0.5544597326576305,1,0,0,1,Pattern4
0.10781168322906283,0.006592089411681061,0.08266962813945966,0.0,0.15001162458762904,0.06667266183794404,0.07040573576868886,0.07836628681532008,0.023995129898086213,0.05577214894841297,0,0,0,0,Pattern1
1.0,0.9068411287176048,0.7414556238582515,0.9005866762366613,0.6443742279891471,1.0,1.0,0.8571541620936541,0.7365659860786673,1.0,1,1,1,1,Pattern2
0.5110883991489764,0.7622991405061087,0.3904520642044145,0.19442550670447056,0.9682418706022871,0.9718535021798955,0.1987592543679665,0.5789746044694961,0.9812807841245245,0.7895889881476289,0,1,0,0,Pattern4
0.0,0.0,0.14046797145425072,0.0,0.0,0.0774456391970596,0.09433101340003454,0.0,0.13186151543549882,0.0731595060513807,0,0,0,0,Pattern1
0.2773254740045654,0.6297178550271338,0.6243184378727377,0.5065338782726596,0.9098691387235062,0.9516680906685777,0.7037306327218154,0.49321005884943886,0.39967024113198957,0.055119457430295914,1,1,1,1,Pattern3
0.7667539601218043,0.7149322644902147,0.24315181852673262,0.2470163026085731,0.23065705427353544,0.056785075229108695,0.8504930259267015,0.09383935424860157,0.3513739339695048,0.28678046283924985,0,1,1,0,Pattern4
