commit_frequency,code_churn,pr_cycle_time_hours,contributor_count,sprint_velocity_ratio,avg_task_aging_days,backlog_growth_rate,messages_per_day,active_users,sentiment_score,velocity_drop_flag,burnout_flag,silo_flag,aging_flag,health_label
0.6419440032333998,0.37050405550564314,0.7511926052386739,0.5400904303339821,0.6627365169928401,0.1410474524790824,0.5447265711983094,0.5750956183369076,0.6938425117739062,0.3926686831395071,0,0,1,0,0
0.4231067408034248,0.9338034339633525,0.5253636066759433,0.42196781555971435,0.3568376939350908,0.6524478652843747,0.5587143831737635,0.23098670900486623,0.39142284281453615,0.2213947686519991,0,1,1,1,1
0.4187637337634891,0.5455034874578965,0.5771728353934249,0.0,0.32103948102282853,0.6555990251566073,0.4801489538285591,0.2847875033899534,0.33479905789995895,0.5956425304137715,1,1,1,0,1
0.19214034791479817,0.5467257198679935,0.2320123822859577,0.6922024911010147,0.479950799947613,0.4488461729461914,0.4950291227264677,0.640819325381004,0.6467080711125521,0.3143632846407768,0,1,0,0,0
0.6717277847181217,0.6498580116655674,0.3635175647540318,0.28942873731204277,0.7870289600350171,0.23257650805745256,0.038609285165570884,0.5002102600965812,0.7977917426179921,0.5236937454943202,0,1,1,1,0
0.6474662751278089,0.45421407965099503,0.2414346909847651,0.6651820520665743,0.7581184242726176,0.3887798315353163,0.5459147435729644,0.4277581744389085,0.6005725718760158,0.8383089801175629,0,1,0,1,0
0.18795890824224265,0.5608077316886859,0.027473871487228088,0.48649684392200465,0.5741967728567323,0.15307260955354615,0.5864956215155752,0.608226281098805,0.5518710575698992,0.5616615454047431,0,0,0,1,0
0.35965717729685,0.2384570563812226,0.021585396690414704,0.6071525451814924,0.6578900372955419,0.1335218099101931,0.5420612173081711,0.5675234823410609,0.6709441537728756,0.3829557248980794,1,0,0,1,0
0.3783689786461879,0.2659911812974836,0.3313518650262871,0.8906294142375258,0.7788202864095454,0.14962226565161177,0.18972978248834554,0.29198564609004113,0.13886857939540467,0.5486691551240139,0,1,1,1,0
0.1769414918615161,0.36015935965857127,0.3700758190237967,0.501503063394677,0.5061882210833941,0.19199274901029087,0.1912391325687659,0.6450574872182372,0.7980864412526776,0.8197131443882408,1,0,1,0,0
